mean_damage_value,time,facility,location
7.0,2020/4/10 0:00,buildings,1
3.0,2020/4/10 0:00,buildings,5
3.5,2020/4/10 0:00,buildings,6
6.66666666666667,2020/4/10 0:00,buildings,9
10.0,2020/4/10 0:00,medical,1
1.0,2020/4/10 0:00,medical,5
3.0,2020/4/10 0:00,medical,6
5.33333333333333,2020/4/10 0:00,medical,9
3.0,2020/4/10 0:00,power,1
2.0,2020/4/10 0:00,power,5
4.0,2020/4/10 0:00,power,6
5.33333333333333,2020/4/10 0:00,power,9
2.0,2020/4/10 0:00,roads_and_bridges,1
4.0,2020/4/10 0:00,roads_and_bridges,5
5.5,2020/4/10 0:00,roads_and_bridges,6
7.66666666666667,2020/4/10 0:00,roads_and_bridges,9
3.0,2020/4/10 0:00,sewer_and_water,1
5.0,2020/4/10 0:00,sewer_and_water,5
9.0,2020/4/10 0:00,sewer_and_water,6
9.33333333333333,2020/4/10 0:00,sewer_and_water,9
3.5,2020/4/10 0:05,buildings,2
10.0,2020/4/10 0:05,buildings,9
0.0,2020/4/10 0:05,buildings,15
4.0,2020/4/10 0:05,buildings,16
4.0,2020/4/10 0:05,buildings,17
9.0,2020/4/10 0:05,buildings,18
5.0,2020/4/10 0:05,medical,9
4.0,2020/4/10 0:05,medical,16
4.5,2020/4/10 0:05,power,2
1.0,2020/4/10 0:05,power,9
6.0,2020/4/10 0:05,power,15
4.0,2020/4/10 0:05,power,16
3.0,2020/4/10 0:05,power,17
7.0,2020/4/10 0:05,power,18
0.5,2020/4/10 0:05,roads_and_bridges,2
5.0,2020/4/10 0:05,roads_and_bridges,9
1.0,2020/4/10 0:05,roads_and_bridges,15
5.0,2020/4/10 0:05,roads_and_bridges,16
6.0,2020/4/10 0:05,roads_and_bridges,17
9.0,2020/4/10 0:05,roads_and_bridges,18
5.5,2020/4/10 0:05,sewer_and_water,2
10.0,2020/4/10 0:05,sewer_and_water,9
8.0,2020/4/10 0:05,sewer_and_water,15
7.0,2020/4/10 0:05,sewer_and_water,16
4.0,2020/4/10 0:05,sewer_and_water,17
3.5,2020/4/10 0:05,sewer_and_water,18
8.33333333333333,2020/4/10 0:10,buildings,2
0.0,2020/4/10 0:10,buildings,5
1.5,2020/4/10 0:10,buildings,6
3.0,2020/4/10 0:10,buildings,9
3.0,2020/4/10 0:10,buildings,11
2.0,2020/4/10 0:10,buildings,12
4.0,2020/4/10 0:10,buildings,15
4.0,2020/4/10 0:10,buildings,16
5.0,2020/4/10 0:10,medical,5
9.5,2020/4/10 0:10,medical,6
0.0,2020/4/10 0:10,medical,9
10.0,2020/4/10 0:10,medical,11
3.5,2020/4/10 0:10,medical,16
6.33333333333333,2020/4/10 0:10,power,2
10.0,2020/4/10 0:10,power,5
3.0,2020/4/10 0:10,power,6
7.0,2020/4/10 0:10,power,9
3.0,2020/4/10 0:10,power,11
5.0,2020/4/10 0:10,power,12
8.0,2020/4/10 0:10,power,15
4.0,2020/4/10 0:10,power,16
7.0,2020/4/10 0:10,roads_and_bridges,2
5.0,2020/4/10 0:10,roads_and_bridges,5
9.5,2020/4/10 0:10,roads_and_bridges,6
1.0,2020/4/10 0:10,roads_and_bridges,9
9.0,2020/4/10 0:10,roads_and_bridges,11
3.0,2020/4/10 0:10,roads_and_bridges,12
6.0,2020/4/10 0:10,roads_and_bridges,15
5.5,2020/4/10 0:10,roads_and_bridges,16
3.66666666666667,2020/4/10 0:10,sewer_and_water,2
10.0,2020/4/10 0:10,sewer_and_water,5
3.5,2020/4/10 0:10,sewer_and_water,6
1.0,2020/4/10 0:10,sewer_and_water,9
1.0,2020/4/10 0:10,sewer_and_water,11
3.0,2020/4/10 0:10,sewer_and_water,12
5.0,2020/4/10 0:10,sewer_and_water,15
7.0,2020/4/10 0:10,sewer_and_water,16
9.0,2020/4/10 0:15,buildings,2
2.0,2020/4/10 0:15,buildings,5
2.0,2020/4/10 0:15,buildings,12
7.0,2020/4/10 0:15,buildings,15
4.0,2020/4/10 0:15,buildings,16
10.0,2020/4/10 0:15,buildings,17
5.0,2020/4/10 0:15,medical,5
3.0,2020/4/10 0:15,medical,16
0.0,2020/4/10 0:15,power,2
0.0,2020/4/10 0:15,power,5
6.0,2020/4/10 0:15,power,12
5.0,2020/4/10 0:15,power,15
4.0,2020/4/10 0:15,power,16
6.0,2020/4/10 0:15,power,17
8.0,2020/4/10 0:15,roads_and_bridges,2
3.0,2020/4/10 0:15,roads_and_bridges,5
4.0,2020/4/10 0:15,roads_and_bridges,12
4.0,2020/4/10 0:15,roads_and_bridges,15
5.0,2020/4/10 0:15,roads_and_bridges,16
5.0,2020/4/10 0:15,roads_and_bridges,17
3.0,2020/4/10 0:15,sewer_and_water,2
6.0,2020/4/10 0:15,sewer_and_water,5
3.0,2020/4/10 0:15,sewer_and_water,12
8.0,2020/4/10 0:15,sewer_and_water,15
6.0,2020/4/10 0:15,sewer_and_water,16
7.0,2020/4/10 0:15,sewer_and_water,17
3.0,2020/4/10 0:20,buildings,5
7.0,2020/4/10 0:20,buildings,6
6.0,2020/4/10 0:20,buildings,9
4.0,2020/4/10 0:20,buildings,12
10.0,2020/4/10 0:20,buildings,13
0.5,2020/4/10 0:20,buildings,15
5.0,2020/4/10 0:20,buildings,16
6.0,2020/4/10 0:20,buildings,17
1.0,2020/4/10 0:20,medical,5
7.0,2020/4/10 0:20,medical,6
5.0,2020/4/10 0:20,medical,9
2.0,2020/4/10 0:20,medical,15
3.0,2020/4/10 0:20,medical,16
0.0,2020/4/10 0:20,power,5
10.0,2020/4/10 0:20,power,6
2.0,2020/4/10 0:20,power,9
5.0,2020/4/10 0:20,power,12
10.0,2020/4/10 0:20,power,13
3.5,2020/4/10 0:20,power,15
4.0,2020/4/10 0:20,power,16
0.0,2020/4/10 0:20,power,17
4.0,2020/4/10 0:20,roads_and_bridges,5
4.0,2020/4/10 0:20,roads_and_bridges,6
6.0,2020/4/10 0:20,roads_and_bridges,9
4.0,2020/4/10 0:20,roads_and_bridges,12
8.0,2020/4/10 0:20,roads_and_bridges,13
8.0,2020/4/10 0:20,roads_and_bridges,15
5.0,2020/4/10 0:20,roads_and_bridges,16
3.0,2020/4/10 0:20,roads_and_bridges,17
5.0,2020/4/10 0:20,sewer_and_water,5
4.0,2020/4/10 0:20,sewer_and_water,6
9.0,2020/4/10 0:20,sewer_and_water,9
4.0,2020/4/10 0:20,sewer_and_water,12
6.0,2020/4/10 0:20,sewer_and_water,13
7.0,2020/4/10 0:20,sewer_and_water,15
7.0,2020/4/10 0:20,sewer_and_water,16
10.0,2020/4/10 0:20,sewer_and_water,17
9.0,2020/4/10 0:25,buildings,2
5.0,2020/4/10 0:25,buildings,4
3.25,2020/4/10 0:25,buildings,6
6.0,2020/4/10 0:25,buildings,9
3.5,2020/4/10 0:25,buildings,12
7.0,2020/4/10 0:25,medical,6
3.0,2020/4/10 0:25,medical,9
3.0,2020/4/10 0:25,power,2
4.0,2020/4/10 0:25,power,4
6.5,2020/4/10 0:25,power,6
1.0,2020/4/10 0:25,power,9
2.0,2020/4/10 0:25,power,12
8.0,2020/4/10 0:25,roads_and_bridges,2
5.0,2020/4/10 0:25,roads_and_bridges,4
5.25,2020/4/10 0:25,roads_and_bridges,6
7.0,2020/4/10 0:25,roads_and_bridges,9
2.0,2020/4/10 0:25,roads_and_bridges,12
6.0,2020/4/10 0:25,sewer_and_water,2
6.0,2020/4/10 0:25,sewer_and_water,4
4.5,2020/4/10 0:25,sewer_and_water,6
